System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:40:37:859, 16330656845638,    3.408,   15.000, 1200,   5.675,  44.350,  12.319,   3.039,  36.084,  10.023, 53,  0,   0.000,   0.047,   0.013,  35.000,  43.750, 112.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 3.407659
Measured RDTSC Frequency (GHz) = 2.095

Cumulative Processor Energy_0 (Joules) = 44.350128
Cumulative Processor Energy_0 (mWh) = 12.319480
Average Processor Power_0 (Watt) = 13.014836

Cumulative IA Energy_0 (Joules) = 36.083527
Cumulative IA Energy_0 (mWh) = 10.023202
Average IA Power_0 (Watt) = 10.588947

Cumulative GT Energy_0 (Joules) = 0.046906
Cumulative GT Energy_0 (mWh) = 0.013029
Average GT Power_0 (Watt) = 0.013765
